Cap waktu,Jenis Kelamin,Domisili Tempat Tinggal,Jurusan,Semester,Pendidikan Terakhir Sebelum Kuliah,Jenis Sekolah,Domisili Sekolah,Asal Kota Domisili,Program Peminatan Sekolah,Lama menempuh pendidikan formal terakhir ,Apakah anda pernah mengikuti bimbel/ kursus/ les selama menempuh pendidikan formal terakhir?,"Jika pernah, dimana lokasi bimbel/ kursus/ les?",Nama instansi pendidikan non formal,Lama waktu mengikuti bimbel selama pendidikan formal terakhir,Apakah anda pernah memperoleh prestasi selama menempuh pendidikan formal terakhir?,Tingkat pencapaian prestasi pada saat pendidikan formal terakhir,Banyak prestasi yang diperoleh pada saat pendidikan formal terakhir,Apakah anda mengikuti ekstrakurikuler pada saat pendidikan formal terakhir?,"Jika Ya, jenis ekstrakurikuler yang diikuti",Jalur masuk UIN Jakarta,Apakah anda memperoleh prestasi saat berkuliah?,"Jika Ya, jenis prestasi yang diperoleh","Jika Ya, Tingkat pencapaian prestasi","Jika Ya, Banyaknya prestasi yang diperoleh pada saat berkuliah",Apakah anda penerima beasiswa?,Hasil Indeks Prestasi Kumulatif (IPK) saat ini
2022/04/16 4:09:05 PM GMT+7,Perempuan,JABODETABEK,Fisika,2,SMA,Swasta,JABODETABEK,Bogor,IPA,3 Tahun,Pernah,JABODETABEK,Bimbingan belajar BISMA,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/16 4:13:31 PM GMT+7,Perempuan,JABODETABEK,Fisika,2,SMA,Negeri,JABODETABEK,Kab. Bogor,IPA,3 Tahun,Pernah,JABODETABEK,Alpha Beta Gamma,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,UM - PTKIN,Ya,Non - Akademik,Nasional,> 2,Tidak,> 3.50
2022/04/16 7:13:23 PM GMT+7,Perempuan,JABODETABEK,Fisika,4,SMA,Swasta,Luar JABODETABEK,Banten,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Akademik,Nasional,2,Ya,Non - Akademik,Lainnya,Tidak,,,,Tidak,> 3.50
2022/04/16 7:32:45 PM GMT+7,Laki - Laki,JABODETABEK,Fisika,4,SMA,Negeri,JABODETABEK,Jakarta Barat,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/16 9:37:16 PM GMT+7,Perempuan,JABODETABEK,Agribisnis,6,SMA,Negeri,JABODETABEK,Kabupatan Bogor,IPA,3 Tahun,Pernah,JABODETABEK,Primagama,1-3 Tahun,Tidak Keduanya,Kota/Kabupaten,1,Ya,Non - Akademik,SBMPTN,Tidak,,,,Ya,> 3.50
2022/04/16 9:50:10 PM GMT+7,Laki - Laki,JABODETABEK,Agribisnis,6,SMA,Negeri,JABODETABEK,Jakarta Selatan,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Non-Akademik,Tingkat Perguruan,1,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/16 11:31:18 PM GMT+7,Perempuan,JABODETABEK,Agribisnis,6,SMA,Negeri,JABODETABEK,Tangerang,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/17 12:28:57 AM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,>6,SMA,Swasta,JABODETABEK,Jakarta,IPA,3 Tahun,Pernah,JABODETABEK,Ganesha Operation,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/17 9:12:05 PM GMT+7,Perempuan,JABODETABEK,Agribisnis,6,SMA,Negeri,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Ya,> 3.50
2022/04/20 7:52:13 PM GMT+7,Laki - Laki,JABODETABEK,Agribisnis,2,SMA,Negeri,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,SBMPTN,Tidak,,,,Ya,> 3.50
